2026-02-25 19:14:39.025 | INFO     | src.utils.metrics:info:29 - ⚠️ No checkpoint found. Starting from scratch.
2026-02-25 19:14:39.026 | INFO     | src.utils.metrics:info:29 - 🚀 Starting training from epoch 0 to 5...
2026-02-25 19:59:42.799 | INFO     | src.utils.metrics:info:29 - Epoch [1/5] | Train Loss: 1.2316 | Train Acc: 54.80% | Clean Acc: 56.26% | ASR: 98.23%
2026-02-25 19:59:43.173 | SUCCESS  | src.utils.metrics:success:33 - Raw metrics saved to metrics_raw.csv
2026-02-25 19:59:43.174 | SUCCESS  | src.utils.metrics:success:33 - 🌟 New best checkpoint saved to ./checkpoints\cifar10\best_model.pth
2026-02-25 20:39:09.894 | INFO     | src.utils.metrics:info:29 - Epoch [2/5] | Train Loss: 0.7219 | Train Acc: 74.56% | Clean Acc: 65.11% | ASR: 97.28%
2026-02-25 20:39:10.244 | SUCCESS  | src.utils.metrics:success:33 - Raw metrics saved to metrics_raw.csv
2026-02-25 20:39:10.245 | SUCCESS  | src.utils.metrics:success:33 - 🌟 New best checkpoint saved to ./checkpoints\cifar10\best_model.pth
2026-02-25 21:18:13.624 | INFO     | src.utils.metrics:info:29 - Epoch [3/5] | Train Loss: 0.5406 | Train Acc: 81.17% | Clean Acc: 73.61% | ASR: 96.48%
2026-02-25 21:18:13.976 | SUCCESS  | src.utils.metrics:success:33 - Raw metrics saved to metrics_raw.csv
2026-02-25 21:18:13.976 | SUCCESS  | src.utils.metrics:success:33 - 🌟 New best checkpoint saved to ./checkpoints\cifar10\best_model.pth
2026-02-25 21:57:14.792 | INFO     | src.utils.metrics:info:29 - Epoch [4/5] | Train Loss: 0.4200 | Train Acc: 85.48% | Clean Acc: 72.14% | ASR: 95.41%
2026-02-25 22:38:23.911 | INFO     | src.utils.metrics:info:29 - Epoch [5/5] | Train Loss: 0.3294 | Train Acc: 88.64% | Clean Acc: 78.42% | ASR: 97.51%
2026-02-25 22:38:24.307 | SUCCESS  | src.utils.metrics:success:33 - Raw metrics saved to metrics_raw.csv
2026-02-25 22:38:24.307 | SUCCESS  | src.utils.metrics:success:33 - 🌟 New best checkpoint saved to ./checkpoints\cifar10\best_model.pth
2026-02-25 22:38:24.310 | INFO     | src.utils.metrics:info:29 - 🎉 Training completed and TensorBoard writer closed!
